SECTOR_CODE,CD_NUMBER,CD_DATE,INBOUND_TYPE,ITEM_NUMBER,HS_CODE,QUANTITY,UNIT_PRICE,AMOUNT_USD,CURRENCY_CODE
PCS,020820071087098539,04/08/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,300,13.47,4041,USD
PCS,010120071017088528,04/10/2007 00:00:00,NORMAL IMPORT 0615,SYN1769B,8517629900,340,20.45,6953,USD
PCS,020820071087050052,04/09/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,825,11.64,9603,USD
PCS,020820071087051092,04/16/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,100,13.47,1347,USD
PCS,020320071037071169,04/12/2007 00:00:00,NORMAL IMPORT 0615,SYN1764A,8517629900,230,12.296,2828.08,USD
PCS,020320071037071165,04/12/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,300,18.99,5697,USD
PCS,020820071087060731,04/18/2007 00:00:00,NORMAL IMPORT 0615,SYN1837A,8517629900,570,12.56,7159.2,USD
PCS,020820071087060731,04/18/2007 00:00:00,NORMAL IMPORT 0615,SYN1837A,8517629900,180,12.56,2260.8,USD
PCS,010120071017083802,04/17/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,6000,3.4322,20593.2,USD
PCS,020320071037071092,04/19/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,400,18.99,7596,USD
PCS,020320071037070880,03/26/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,2300,28.96,66608,USD
PCS,020320071037071171,04/13/2007 00:00:00,NORMAL IMPORT 0615,SYN1626A,8517629900,540,23.3412,12604.248,USD
PCS,020320071037071171,04/13/2007 00:00:00,NORMAL IMPORT 0615,SYN1639A,8517629900,360,23.3412,8402.832,USD
PCS,020320071037071178,04/25/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,1200,30.8,36960,USD
PCS,020320071037071233,05/08/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,300,18.99,5697,USD
PCS,020320071037071207,05/08/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,250,28.96,7240,USD
PCS,010120071017087053,05/04/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,420,30.8,12936,USD
PCS,020320071037071007,04/10/2007 00:00:00,OVERSEA FINISH GOODS RETURN,EPNN7656A,8517629900,-7,65.3178,-457.2246,USD
PCS,010120071017102192,04/30/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,300,9.43,2829,USD
PCS,020320071037073365,02/05/2007 00:00:00,OVERSEA FINISH GOODS RETURN,EPNN7656A,8517629900,-7,93.55,-654.85,USD
PCS,020820071087061281,05/08/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,400,13.47,5388,USD
PCS,020820071087082138,05/15/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,700,9.43,6601,USD
PCS,010120071017106728,05/15/2007 00:00:00,NORMAL IMPORT 0615,SYN1822B,8517629900,1027,14.2782,14663.7114,USD
PCS,010120071017106728,05/15/2007 00:00:00,NORMAL IMPORT 0615,SYN1509C,8517629900,600,20.1294,12077.64,USD
PCS,010120071017106728,05/15/2007 00:00:00,NORMAL IMPORT 0615,SYN1853B,8517629900,700,14.2782,9994.74,USD
PCS,010120071017106728,05/15/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,300,14.2782,4283.46,USD
PCS,020320071037071422,05/14/2007 00:00:00,NORMAL IMPORT 0615,SYN1458A,8517629900,100,3.7,370,USD
PCS,020820071087070976,05/22/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,2420,9.23,22336.6,USD
PCS,020820071087070976,05/22/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,180,9.23,1661.4,USD
PCS,020320071037071548,05/24/2007 00:00:00,NORMAL IMPORT 0615,SYN1764A,8517629900,90,12.296,1106.64,USD
PCS,020320071037071645,05/23/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,360,30.8,11088,USD
PCS,010120071017108260,05/18/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,15000,3.4322,51483,USD
PCS,020820071087054653,05/28/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,2800,9.23,25844,USD
PCS,010120071017086662,05/24/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,30000,3.4322,102966,USD
PCS,020820071087079993,06/05/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,100,9.28,928,USD
PCS,020320071037071572,06/01/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,3000,3.4322,10296.6,USD
PCS,020320071037071567,06/01/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,274,28.96,7935.04,USD
PCS,020820071087051553,06/12/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,100,9.43,943,USD
PCS,020820071087051528,06/17/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,90,9.28,835.2,USD
PCS,020820071087079625,06/24/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,1440,9.23,13291.2,USD
PCS,020820071087079625,06/24/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,2520,9.23,23259.6,USD
PCS,020820071087079625,06/24/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,3500,9.23,32305,USD
PCS,020820071087079552,06/24/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,1000,9.23,9230,USD
PCS,020320071037071710,06/18/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,176,26.33,4634.08,USD
PCS,020820071087090858,07/02/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,90,9.28,835.2,USD
PCS,020320071037087021,06/27/2007 00:00:00,NORMAL IMPORT 0615,SYN1626A,8517629900,360,23.3412,8402.832,USD
PCS,020320071037072953,07/04/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,100,20.1294,2012.94,USD
PCS,020320071037072967,07/05/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,248,26.33,6529.84,USD
PCS,020320071037071733,06/29/2007 00:00:00,OVERSEA FINISH GOODS RETURN,IHF150F0D3,8517629900,-1,42.8213,-42.8213,USD
PCS,010120071017127462,06/28/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,32,32.9978,1055.9296,USD
PCS,010120071017127463,06/28/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,30000,3.4322,102966,USD
PCS,020820071087078485,07/09/2007 00:00:00,NORMAL IMPORT 0615,SYN2035A,8517629900,9600,27.62,265152,USD
PCS,020820071087078486,07/09/2007 00:00:00,NORMAL IMPORT 0615,SYN2035A,8517629900,5400,27.62,149148,USD
PCS,020320071037073117,07/10/2007 00:00:00,NORMAL IMPORT 0615,SYN1374C,8517629900,1080,9.9958,10795.464,USD
PCS,020320071037073117,07/10/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,200,12.2112,2442.24,USD
PCS,020320071037073117,07/10/2007 00:00:00,NORMAL IMPORT 0615,SYN1639A,8517629900,450,23.3412,10503.54,USD
